time tempo/hora
if se
will vai/vontade
way caminho/jeito
about sobre/quase
many muitos
then então
them deles
write escrever
would deveria
like como/gostar
so assim/tão
these estes
her dela
long longo
make fazer
thing coisa
see ver
him dele
two dois/duas
has tem
look olhar
more mais
day dia
could poderia
go ir
come vir
did fez/mesmo
number número
sound som
no não
most mais/maior
people pessoas/povo
my meu
over sobre/acima-de
know saber
water água
than que
call chamar
first primeiro
who que
may maio/pode
down baixo
side lado
been sido/estado
now agora
find encontrar
any qualquer
new novo
work trabalho
part parte
take pegar
get ficar
place lugar
made feito
live viver/vivo
where onde
after após
back atrás/costas
little pequeno/pouco
only somente
roun redondo/rodada
man homem
year ano
came chegado
show mostrar
every cada
good bom
give dar
our nosso
under sob
name nome
very muito/absoluto
through	através-de
just justo/só
form forma/formulário
sentence sentença
great ótimo/excelente/grande
think pensar
say dizer
help ajudar
low baixo
line linha/fila
differ diferir
turn tornar/vez
cause causa
much muito
mean meio/significar
before antes
move movimento
right direito
boy garoto
old velho
too também
same mesmo
tell contar
does faz/mesmo
set conjunto/fixar
three três
want querer
air ar
well bem/poço
also também
play peça/tocar
small pequeno
end fim/finalizar
put por
home casa
read ler/lido
hand mão
port porto
large grande
spell soletrar/encanto
add adicionar
even mesmo
land terra
here aqui
must dever
big grande
high tal
follow seguir
act ato/agir
why por-que
ask pedir/perguntar
men homens
change mudar
went foi
light leve/luz
kind bom/tipo
off por/desligado
need precisar
house casa
picture foto/filme
try tentar
us nos
again de-novo
animal animal
point ponto
mother mãe
world mundo
near perto
build construir
self próprio/ego
earth terra
father pai
head cabeça
stand permanecer/de-pé/banca
own próprio
page página
should deveria
country	país
found encontrado/fundar
answer resposta
school escola
grow crescer
study estudo
still até/calmo
learn aprender
plant planta/fábrica
cover cobrir
food comida
sun sol
four quatro
between	entre
state estado
keep guardar
eye olho
never nunca
last último/durar
let deixar
thought	pensamento/pensado
city cidade
tree árvore
cross cruz/cruzar
farm fazenda
hard duro
start começar
might poder/poderia
story estória/andar(prédio)
saw viu/serra
far longe
sea mar
draw arrastar/empate
